city,date,n,no_killed,no_injured
Seattle,2014-04-13,32,0,
Seattle,2014-04-14,26,1,
Seattle,2014-04-15,34,0,
Seattle,2014-04-16,49,0,
Seattle,2014-04-17,49,0,
Seattle,2014-04-18,40,0,
Seattle,2014-04-19,28,0,
Seattle,2014-04-20,20,0,
Seattle,2014-04-21,35,0,
Seattle,2014-04-22,42,0,
Seattle,2014-04-23,35,0,
Seattle,2014-04-24,34,0,
Seattle,2014-04-25,38,0,
Seattle,2014-04-26,43,0,
Seattle,2014-04-27,32,0,
Seattle,2014-04-28,30,0,
Seattle,2014-04-29,38,0,
Seattle,2014-04-30,46,0,
Seattle,2014-05-01,38,0,
Seattle,2014-05-02,36,0,
Seattle,2014-05-03,45,0,
Seattle,2014-05-04,33,0,
Seattle,2014-05-05,33,0,
Seattle,2014-05-06,35,0,
Seattle,2014-05-07,37,0,
Seattle,2014-05-08,57,0,
Seattle,2014-05-09,45,0,
Seattle,2014-05-10,32,0,
Seattle,2014-05-11,26,0,
Seattle,2014-05-12,36,0,
Seattle,2014-05-13,45,0,
Seattle,2014-05-14,38,0,
Seattle,2014-05-15,34,0,
Seattle,2014-05-16,35,0,
Seattle,2014-05-17,43,0,
Seattle,2014-05-18,28,1,
Seattle,2014-05-19,39,1,
Seattle,2014-05-20,38,0,
Seattle,2014-05-21,35,0,
Seattle,2014-05-22,39,0,
Seattle,2014-05-23,54,0,
Seattle,2014-05-24,21,0,
Seattle,2014-05-25,37,0,
Seattle,2014-05-26,35,0,
Seattle,2014-05-27,33,0,
Seattle,2014-05-28,36,0,
Seattle,2014-05-29,40,0,
Seattle,2014-05-30,39,0,
Seattle,2014-05-31,38,0,
Seattle,2014-06-01,26,0,
Seattle,2014-06-02,35,0,
Seattle,2014-06-03,35,0,
Seattle,2014-06-04,30,0,
Seattle,2014-06-05,31,0,
Seattle,2014-06-06,46,0,
Seattle,2014-06-07,41,0,
Seattle,2014-06-08,26,0,
Seattle,2014-06-09,25,0,
Seattle,2014-06-10,40,0,
Seattle,2014-06-11,31,0,
Seattle,2014-06-12,50,0,
Seattle,2014-06-13,59,0,
Seattle,2014-06-14,32,0,
Seattle,2014-06-15,32,0,
Seattle,2014-06-16,41,0,
Seattle,2014-06-17,31,0,
Seattle,2014-06-18,24,0,
Seattle,2014-06-19,35,0,
Seattle,2014-06-20,40,0,
Seattle,2014-06-21,39,0,
Seattle,2014-06-22,31,0,
Seattle,2014-06-23,32,0,
Seattle,2014-06-24,34,0,
Seattle,2014-06-25,39,0,
Seattle,2014-06-26,38,0,
Seattle,2014-06-27,52,0,
Seattle,2014-06-28,32,0,
Seattle,2014-06-29,23,0,
Seattle,2014-06-30,36,0,
Seattle,2014-07-01,45,0,
Seattle,2014-07-02,36,0,
Seattle,2014-07-03,30,0,
Seattle,2014-07-04,20,0,
Seattle,2014-07-05,31,0,
Seattle,2014-07-06,29,0,
Seattle,2014-07-07,34,0,
Seattle,2014-07-08,47,1,
Seattle,2014-07-09,44,0,
Seattle,2014-07-10,38,0,
Seattle,2014-07-11,43,0,
Seattle,2014-07-12,32,0,
Seattle,2014-07-13,36,0,
Seattle,2014-07-14,37,0,
Seattle,2014-07-15,48,0,
Seattle,2014-07-16,44,0,
Seattle,2014-07-17,43,0,
Seattle,2014-07-18,24,0,
Seattle,2014-07-19,30,0,
Seattle,2014-07-20,31,0,
Seattle,2014-07-21,26,0,
Seattle,2014-07-22,31,0,
Seattle,2014-07-23,48,0,
Seattle,2014-07-24,39,0,
Seattle,2014-07-25,46,0,
Seattle,2014-07-26,39,0,
Seattle,2014-07-27,28,0,
Seattle,2014-07-28,39,0,
Seattle,2014-07-29,54,0,
Seattle,2014-07-30,39,0,
Seattle,2014-07-31,44,1,
Seattle,2014-08-01,52,0,
Seattle,2014-08-02,39,0,
Seattle,2014-08-03,34,0,
Seattle,2014-08-04,40,0,
Seattle,2014-08-05,41,0,
Seattle,2014-08-06,41,0,
Seattle,2014-08-07,39,0,
Seattle,2014-08-08,45,0,
Seattle,2014-08-09,37,1,
Seattle,2014-08-10,26,0,
Seattle,2014-08-11,46,1,
Seattle,2014-08-12,28,0,
Seattle,2014-08-13,40,0,
Seattle,2014-08-14,37,0,
Seattle,2014-08-15,50,0,
Seattle,2014-08-16,31,0,
Seattle,2014-08-17,37,0,
Seattle,2014-08-18,33,0,
Seattle,2014-08-19,38,0,
Seattle,2014-08-20,36,0,
Seattle,2014-08-21,39,0,
Seattle,2014-08-22,41,0,
Seattle,2014-08-23,30,0,
Seattle,2014-08-24,35,0,
Seattle,2014-08-25,47,0,
Seattle,2014-08-26,35,0,
Seattle,2014-08-27,41,0,
Seattle,2014-08-28,31,0,
Seattle,2014-08-29,25,1,
Seattle,2014-08-30,37,0,
Seattle,2014-08-31,21,0,
Seattle,2014-09-01,25,0,
Seattle,2014-09-02,40,0,
Seattle,2014-09-03,37,0,
Seattle,2014-09-04,45,0,
Seattle,2014-09-05,43,0,
Seattle,2014-09-06,34,0,
Seattle,2014-09-07,24,0,
Seattle,2014-09-08,34,0,
Seattle,2014-09-09,34,0,
Seattle,2014-09-10,47,0,
Seattle,2014-09-11,40,0,
Seattle,2014-09-12,47,0,
Seattle,2014-09-13,37,0,
Seattle,2014-09-14,28,0,
Seattle,2014-09-15,35,0,
Seattle,2014-09-16,34,0,
Seattle,2014-09-17,40,0,
Seattle,2014-09-18,29,0,
Seattle,2014-09-19,36,0,
Seattle,2014-09-20,49,0,
Seattle,2014-09-21,35,0,
Seattle,2014-09-22,28,0,
Seattle,2014-09-23,57,0,
Seattle,2014-09-24,39,0,
Seattle,2014-09-25,39,0,
Seattle,2014-09-26,44,0,
Seattle,2014-09-27,35,0,
Seattle,2014-09-28,29,0,
Seattle,2014-09-29,31,0,
Seattle,2014-09-30,33,0,
Seattle,2014-10-01,42,0,
Seattle,2014-10-02,53,0,
Seattle,2014-10-03,43,0,
Seattle,2014-10-04,39,0,
Seattle,2014-10-05,24,0,
Seattle,2014-10-06,37,0,
Seattle,2014-10-07,47,0,
Seattle,2014-10-08,15,0,
Seattle,2014-10-09,34,0,
Seattle,2014-10-10,38,0,
Seattle,2014-10-11,44,0,
Seattle,2014-10-12,25,0,
Seattle,2014-10-13,39,0,
Seattle,2014-10-14,36,0,
Seattle,2014-10-15,63,0,
Seattle,2014-10-16,33,0,
Seattle,2014-10-17,57,0,
Seattle,2014-10-18,44,0,
Seattle,2014-10-19,17,0,
Seattle,2014-10-20,38,0,
Seattle,2014-10-21,24,0,
Seattle,2014-10-22,76,0,
Seattle,2014-10-23,44,0,
Seattle,2014-10-24,38,1,
Seattle,2014-10-25,48,0,
Seattle,2014-10-26,40,0,
Seattle,2014-10-27,36,0,
Seattle,2014-10-28,54,0,
Seattle,2014-10-29,31,0,
Seattle,2014-10-30,59,0,
Seattle,2014-10-31,65,0,
Seattle,2014-11-01,31,0,
Seattle,2014-11-02,28,0,
Seattle,2014-11-03,48,0,
Seattle,2014-11-04,39,0,
Seattle,2014-11-05,47,0,
Seattle,2014-11-06,58,0,
Seattle,2014-11-07,45,0,
Seattle,2014-11-08,30,0,
Seattle,2014-11-09,29,0,
Seattle,2014-11-10,39,0,
Seattle,2014-11-11,35,0,
Seattle,2014-11-12,35,0,
Seattle,2014-11-13,39,0,
Seattle,2014-11-14,32,0,
Seattle,2014-11-15,39,0,
Seattle,2014-11-16,24,0,
Seattle,2014-11-17,36,0,
Seattle,2014-11-18,39,0,
Seattle,2014-11-19,24,0,
Seattle,2014-11-20,43,1,
Seattle,2014-11-21,74,0,
Seattle,2014-11-22,41,1,
Seattle,2014-11-23,20,0,
Seattle,2014-11-24,31,0,
Seattle,2014-11-25,59,0,
Seattle,2014-11-26,36,0,
Seattle,2014-11-27,29,0,
Seattle,2014-11-28,35,0,
Seattle,2014-11-29,25,0,
Seattle,2014-11-30,33,0,
Seattle,2014-12-01,24,0,
Seattle,2014-12-02,39,0,
Seattle,2014-12-03,31,0,
Seattle,2014-12-04,42,0,
Seattle,2014-12-05,51,1,
Seattle,2014-12-06,31,0,
Seattle,2014-12-07,16,0,
Seattle,2014-12-08,54,0,
Seattle,2014-12-09,45,0,
Seattle,2014-12-10,43,0,
Seattle,2014-12-11,60,0,
Seattle,2014-12-12,45,0,
Seattle,2014-12-13,31,0,
Seattle,2014-12-14,32,0,
Seattle,2014-12-15,45,0,
Seattle,2014-12-16,38,0,
Seattle,2014-12-17,45,0,
Seattle,2014-12-18,38,0,
